customer_id,name,dob,kyc_status,email,phone,address,country
C-1001,Crystal Brown,2001-02-18,BLOCKED,alexanderjohn@gmail.com,7945732444,"747 Anderson Land Suite 729, Melanieland, ME 38360",Belarus
C-1002,Garrett White,1949-05-19,BLOCKED,santosvictor@gmail.com,559-154-0481x271,"286 Holly Forges, Williamsville, NJ 13433",Austria
C-1003,Christina Hood,1953-08-30,BLOCKED,amyalexander@ramos.com,607-677-3798x203,"77134 Cook Dam, West Aliciafurt, OR 93885",Georgia
C-1004,Eric King,2002-05-23,BLOCKED,jenniferfarley@gmail.com,668-212-0496x963,"42183 Christopher Square Suite 893, Port Emilystad, AL 70608",Romania
C-1005,Ashley Clark,1981-03-19,PENDING,timothy74@nixon.com,191-115-4050x027,"322 Steven Alley, Lake Joseph, WI 09804",Faroe Islands
C-1006,Mike Spencer,1972-01-10,VERIFIED,stephanie48@yahoo.com,(234)498-6346x6916,"38404 Moore Parkway, South Candiceburgh, IA 31259",Congo
C-1007,Anthony Douglas,1999-01-25,BLOCKED,jason94@gmail.com,398-944-9696x30245,"PSC 9400, Box 5647, APO AP 41589",Macedonia
C-1008,Jennifer Kelley,1977-09-22,VERIFIED,jonathan42@williams.org,(144)029-1220,"191 Nolan Green, Lake Allison, KS 28840",Mongolia
C-1009,Brandon Vincent,1988-10-03,BLOCKED,yrichardson@morgan-ramsey.com,(870)229-9209x7989,"89564 Myers Valley Suite 412, Lake Alexanderton, FL 29306",Namibia
C-1010,Colleen Stephens,1969-05-18,PENDING,sheri59@hotmail.com,611.816.0611,"312 Robert Flats, Whitetown, AK 80704",Botswana
C-1011,Steven Bender,1973-06-18,VERIFIED,priscilladavis@robinson-simpson.com,(397)509-6040,"4115 Patricia Throughway, Port Jessica, PA 62055",Guam
C-1012,Morgan Richardson,1946-10-20,PENDING,davidmahoney@yahoo.com,038.013.9232x9690,"80590 Todd Land Suite 288, Colleenborough, NE 87230",Iran
