customer_id,name,dob,kyc_status,email,phone,address,country
C-1001,Amanda Harris,8/13/1980,PENDING,james34@schneider-barnes.com,8475481153,"3659 Hatfield Meadows, New Loriport, NE 42893",Kazakhstan
C-1002,Stephanie Hernandez,4/1/1984,PENDING,mooretyler@brown-morris.biz,1371207131,"036 Pugh Mission, Riceberg, PA 29885",Bulgaria
C-1003,William Huang,12/16/1972,PENDING,fletcherdavid@campos.info,0009033717,"88000 Miller View Suite 977, East Kelly, NV 87654",Mauritania
C-1004,Thomas Davis,1/14/1963,BLOCKED,anthonysmith@solis.com,6922930121,"047 Castaneda Shoal, North Juan, CT 63355",Japan
C-1005,David Hess,8/8/1993,APPROVED,lopezpatricia@hotmail.com,2427884788,"3834 Samantha Parkways, South Wyatt, MD 27011",Senegal
C-1006,Victor Garza,6/22/2002,BLOCKED,christophermorrow@yahoo.com,5424506419,"3953 Brent Field, East Stephen, VA 67523",Oman
C-1007,Amanda Chapman,9/16/2000,APPROVED,panderson@gmail.com,1834535940,"095 Lopez Vista Apt. 570, Underwoodhaven, LA 55615",Cote d'Ivoire
C-1008,Connie Fisher,10/3/1988,APPROVED,qpadilla@good.com,4653682504,"3463 Timothy Stravenue, Zacharyfort, MN 38118",Israel
C-1009,Danielle Sanchez,5/29/1979,PENDING,elizabeth90@hotmail.com,8071193802,"40258 Melissa Port, East Leonard, WA 10542",Isle of Man
C-1010,Ronald Knox,8/7/2002,BLOCKED,elizabeth12@daniels.biz,3782075854,"22371 Jonathan Pine Suite 180, West John, SD 27099",China
C-1011,Nancy Guerrero,9/9/1998,BLOCKED,reynoldsrichard@hotmail.com,0468606568,"369 Nicole Overpass Suite 500, Chavezberg, ME 32439",French Guiana
C-1012,Alyssa Watson,11/25/1989,BLOCKED,fpatterson@pena-harvey.com,5435688809,"0183 Williams Courts Suite 869, South Shannon, NJ 18689",Saint Helena
C-1013,Phillip Park,7/4/1995,APPROVED,shirley95@yahoo.com,5494106832,"17847 Christopher River, Robertfort, AR 90890",Nigeria
C-1014,Kelly Brown,10/14/1969,BLOCKED,georgejohnson@young.com,0507598760,"236 Miller Tunnel, Wallerstad, TN 45646",Holy See (Vatican City State)
C-1015,Hayley Welch,5/13/2006,PENDING,brian40@hotmail.com,5759678980,"28341 Bailey Hills Suite 699, Sparkschester, ND 20717",Moldova
C-1016,David Taylor,12/7/1977,BLOCKED,ebauer@maldonado.com,9394008772,"PSC 3492, Box 2813, APO AE 81365",Cote d'Ivoire
C-1017,Jacob Larsen,4/9/1980,PENDING,deniselane@yahoo.com,8034147230,"5218 Richard Junction Suite 102, Warrenburgh, IL 30266",Afghanistan
C-1018,Wendy Lyons,7/10/1960,APPROVED,robertcook@williams.com,3267311519,"189 Davenport Island Apt. 257, West James, ND 49674",Niue
C-1019,Catherine Shannon,11/12/1986,APPROVED,rjones@flores.biz,0433614174,"25940 Christopher Drive, Collinstown, NC 15272",Guinea-Bissau
C-1020,Hannah Miller,11/24/1972,PENDING,vgutierrez@powell.com,7366015750,"USNS Sawyer, FPO AE 84763",Reunion
C-1021,Nicole Woods,2/24/2005,BLOCKED,fblackburn@harris.info,9530056548,"24146 Dillon Circles Apt. 014, North John, LA 67618",Congo
C-1022,Ricky Finley,2/11/1999,BLOCKED,denise03@vasquez.com,7343873235,"739 Jacob Park Apt. 762, Port Samantha, UT 71318",Honduras
C-1023,Mike White,10/29/1996,BLOCKED,cwarren@gmail.com,1344983236,"57555 Justin Fords, Lake Cameron, UT 54105",Saint Barthelemy
C-1024,Paul Herrera,10/1/1989,BLOCKED,martinallen@hotmail.com,8678520308,"717 Acosta Parkways, Rayport, CO 50552",Greenland
C-1025,Jonathan Torres,11/9/1968,PENDING,bennettjessica@diaz.biz,7690739427,"134 David Heights, North Jamesborough, AR 71645",Pakistan
C-1026,Brandon Bennett,2/8/1997,APPROVED,deborah98@anderson.info,1419380088,"8724 Chad Islands Apt. 314, Turnermouth, AK 13584",Faroe Islands
C-1027,Rebekah Zamora,10/7/1982,BLOCKED,jeremy06@anderson.info,2129752389,"92087 Kennedy Light Suite 450, Amybury, NM 98067",Dominica
C-1028,James Jennings,11/18/1971,PENDING,keith01@orr.com,4661747096,"98898 Smith Port Suite 495, Lake Racheltown, IA 56769",Cambodia
C-1029,Nathan Garcia,3/27/1979,BLOCKED,oolsen@hotmail.com,3935466168,"09544 Brooke Mountains, South Nancy, FL 12687",Kiribati
C-1030,Adam Moore,3/11/1964,BLOCKED,beckjulie@gmail.com,2326605003,"6931 Osborn Mountain, West Melindaberg, CO 87661",Lesotho
C-1031,Janet Peterson,12/9/1989,APPROVED,mkennedy@tran-klein.org,1839909954,"USNS Moore, FPO AE 06755",Reunion
C-1032,Jerry Owens,4/9/1989,PENDING,karenmccoy@miranda-blevins.biz,6869333729,"9598 Cathy Crest, Julieview, IN 82949",Martinique
C-1033,Yolanda Houston,4/22/1973,APPROVED,duane36@gmail.com,5020309544,"4085 Johnson Tunnel, Crossland, MO 08720",Bermuda
C-1034,Nathan Fox,4/4/2007,PENDING,patrickdiaz@hotmail.com,1088880365,"572 Wagner Fall Apt. 316, Port Stephanieton, SC 63270",El Salvador
C-1035,Scott Dunn,1/13/1958,APPROVED,amanda35@gmail.com,8650080333,"Unit 6981 Box 8784, DPO AP 69154",Cyprus
C-1036,Jennifer Lewis,3/16/1994,PENDING,lindsey91@rivera.com,4218233642,"PSC 4358, Box 1967, APO AP 59526",Grenada
C-1037,Mark Bishop,7/17/2005,APPROVED,murrayseth@mcdaniel.biz,2758837825,"16554 Roman Lane Suite 162, Port Chasefort, CO 20327",Tokelau
C-1038,Kimberly Atkins,9/19/1967,PENDING,imiller@webster.info,9560580801,"30453 Baker Forest, Wrightfurt, AR 53108",Bhutan
C-1039,Melinda Berry,5/19/1973,PENDING,jaredlara@yahoo.com,7242298567,"2908 Lane Ridge Suite 090, Port Chaseville, CA 59851",Anguilla
C-1040,Christopher Simpson,10/16/1959,BLOCKED,emily00@yahoo.com,3996212774,"324 Mary Mill, West Jonathan, IL 89331",Mexico
C-1041,Kristen Velazquez,9/14/1974,PENDING,mrogers@yahoo.com,5725844840,"1712 Jones Square Suite 683, North Alexfurt, FL 44517",Oman
C-1042,Isabella Hernandez,2/8/2006,BLOCKED,rodney76@hotmail.com,4847524177,"0153 Romero Creek Suite 519, Millerton, WV 96718",Djibouti
C-1043,Eddie Harrison,5/16/1999,BLOCKED,jason34@nguyen.com,6942388025,"1048 Dominic Fork Apt. 614, Bullockside, NY 20703",Isle of Man
C-1044,Dale Kelly,6/15/2001,BLOCKED,powelljessica@gmail.com,2534831517,"71230 Robert Harbor, Adamsfort, VT 44974",Peru
C-1045,Lisa Robertson,1/13/1961,PENDING,destiny74@yahoo.com,7884953284,"74853 Marquez Glens, Andrewborough, MD 22284",Sri Lanka
C-1046,Michelle Price,12/7/1972,BLOCKED,qvega@brown.info,3043838722,"835 Trevor Well, North Evanview, MI 10546",Senegal
C-1047,Mary Dunn,7/3/1975,PENDING,gcallahan@gmail.com,5419664574,"3275 Ponce Summit, South Angelaberg, MN 58002",Philippines
C-1048,Danielle Edwards,1/25/1989,BLOCKED,ianjones@gmail.com,2355832825,"938 David Dam Apt. 567, Marisaborough, FL 68322",Ecuador
C-1049,Kristi Wright,6/2/1996,APPROVED,charles17@jones.com,7500115930,"044 Moreno Shoal, Webbview, AR 15783",Croatia
C-1050,Antonio Cooper,10/31/1994,BLOCKED,aaronmccarthy@yahoo.com,0465552596,"652 Misty Shores, Michaelborough, DC 35672",Saint Barthelemy
C-1051,Rachel Brown,2/15/2001,BLOCKED,austingilbert@thompson.org,4485141644,"709 Lara Overpass Suite 564, East David, AK 83458",American Samoa
C-1052,Joseph Simpson,3/4/1970,BLOCKED,seanevans@jackson.org,5203960383,"4668 Ricardo Terrace, Gilmoreberg, FL 55407",Saint Barthelemy
C-1053,Andrew Watts,9/30/1966,PENDING,smorris@garcia.com,8921827740,"285 Oneill Mills Apt. 604, West Jamesshire, OR 19195",Spain
C-1054,Stephanie Hernandez,1/2/1980,APPROVED,hayleynoble@roach.org,8625951642,"57870 Wagner Brooks Suite 999, Gloriashire, NV 76881",Greenland
C-1055,Kristi Vance,3/17/2003,BLOCKED,luiscline@robinson.info,0885918440,"08449 Chapman Grove, Rodriguezburgh, WI 02949",Serbia
C-1056,Angela Gomez,6/14/1963,PENDING,elizabeth86@sims-lewis.biz,3690619758,"USNS Shaw, FPO AA 86135",Western Sahara
C-1057,Lori Floyd,5/18/2000,APPROVED,moorekristen@moss.com,1118003560,"70652 Tiffany Islands, Karenhaven, UT 44705",Vietnam
C-1058,Kimberly Castillo,1/25/1998,PENDING,butlerjennifer@gmail.com,5712615420,"73526 Heidi Shoals, West William, KY 63868",Myanmar
C-1059,Diana Ewing,12/16/1995,APPROVED,robbinstammy@brown.com,4218424249,"34967 Taylor Points, Paynestad, NM 71309",Cayman Islands
C-1060,Terri Glenn,9/4/1968,PENDING,jharris@walker.biz,1487317621,"54199 Villanueva Mews, Justinside, VA 89474",Eritrea
C-1061,Candace Thompson,1/24/1986,BLOCKED,dylanharris@thomas-davis.com,9085035784,"18061 Ortiz Cliffs, North Alexandraview, AZ 32050",El Salvador
C-1062,Maria Marshall,7/7/2005,BLOCKED,nicholas98@gmail.com,7098083608,"97269 Nguyen Plains, Melendeztown, DC 02316",Vanuatu
C-1063,Corey Jones,8/12/1991,PENDING,yvonnesexton@roberts.net,8693997054,"149 Nichols Land, Derrickfort, AR 13202",Jordan
C-1064,Susan Lopez,8/18/2001,PENDING,weberdavid@gmail.com,1918648864,"83130 Grant Fort, South Alexis, MD 96657",Gambia
C-1065,Megan Wood,9/30/1958,BLOCKED,jason11@gmail.com,2196095771,"40505 Bennett Highway Suite 098, Colonbury, MD 01138",Saint Kitts and Nevis
C-1066,Christopher King,6/19/1968,BLOCKED,amanda92@burns.net,1417018775,"7637 Moran Street, Lake Peter, MD 32386",Sao Tome and Principe
C-1067,Amanda Miller,10/18/1981,BLOCKED,larry04@gmail.com,6888064993,"3742 Costa Lodge Apt. 227, North Kristaville, CO 62092",Japan
C-1068,Susan Tucker,8/9/2001,BLOCKED,michele29@mitchell.net,5517766855,"974 Jennifer Views, New Crystal, KS 62251",Ghana
C-1069,Tammy Green,10/18/1986,APPROVED,singletonangela@webb.net,7694151405,"6925 Autumn Vista, Port Julieview, NY 49584",Pakistan
C-1070,Michael Garcia,11/29/1973,PENDING,sgray@hotmail.com,9678123685,"94788 Sabrina Field, North Bettychester, SD 72827",Timor-Leste
C-1071,Evan Pham,12/19/1976,PENDING,dannybrooks@baldwin.net,0408812893,"61789 Karla Street, Hancockmouth, MI 56077",Armenia
C-1072,Jeanette Jones,6/21/2003,BLOCKED,jacksonshelley@carrillo-grant.biz,1964812363,"738 Pugh Mill Apt. 902, Bellbury, AZ 21808",Guyana
C-1073,Sharon Gray,10/23/1973,BLOCKED,ycruz@bruce.com,2612621708,"18507 Ramos Mountains Apt. 397, Jamieport, GA 62355",Micronesia
C-1074,Nicole Hahn,2/4/1968,BLOCKED,jenniferjennings@lowe.com,9828792826,"288 Long Path Suite 318, Jamesport, MI 77381",Monaco
C-1075,Lisa Moody,6/14/1988,PENDING,amartin@perkins-wilson.com,0395495868,"2197 Smith Field Suite 057, East Cindymouth, WA 80557",Serbia
C-1076,Susan Lyons,12/7/1990,APPROVED,cheryl14@hotmail.com,4977549806,"312 Matthew Terrace, Elizabethside, MD 41859",India
C-1077,Jessica Montoya,1/7/2002,BLOCKED,jwoods@hotmail.com,9829758425,"869 Andrew Camp, Ortegaport, NH 73857",Cameroon
C-1078,Mr. Robert Lowe MD,7/28/1959,BLOCKED,kathleen03@wagner.com,2859603574,"8615 Annette Villages Suite 972, Payneton, NH 79079",Sierra Leone
C-1079,Bonnie Johnson,12/18/2005,APPROVED,deborahlopez@yahoo.com,8861461064,"5594 Jacob Manor Apt. 543, Port Scott, MI 66926",Azerbaijan
C-1080,Jack Swanson,8/19/1977,PENDING,omccormick@cox-martinez.com,6830248515,"929 Marshall Manor, Goodmanton, IA 29624",Iceland
